infocode	selected_pages	selected_line_count	reason
AN202411071640755422		0	
AN202502201643297822	8;9	32	missing_amounts: [-12814.0, -3733.0, -1003.0, -467.0, -14.0, 33.0, 175.0, 1730.0, 1928.0, 2832.0, 4487.0, 5585.0, 6746.0, 12999.0, 19758.0, 22898.0, 33072.0, 51332.0, 79433.0]
AN202502261643524112	11;12;13;14;15	74	missing_amounts: [33687.0]
AN202502271643568356	11	17	missing_amounts: [92.0, 180.0, 34580.0, 34852.0]
AN202502281643617359	1;2	23	missing_amounts: [167.0, 932.0]
AN202503141644374731	6	7	missing_amounts: [146003.0, 1219113.0]
AN202503181644476934	6	31	missing_amounts: [3649983.0]
AN202503201645124051	10;11;12;13;14;15	154	missing_amounts: [1200.0]
AN202503201645212794	18;19;20;21;22;23;24	145	missing_amounts: [960488.0]
AN202503211645567140	11	15	missing_amounts: [611.0, 3617.0, 101879.0, 1034972.0, 1141079.0]
AN202503211645642281	24;25;26	43	missing_amounts: [224254.0, 349416.0]
AN202503241646930284	23;24	51	missing_amounts: [423.0, 7220.0, 13800.0, 45063.0, 128776.0, 781269.0, 976551.0]
AN202503251647385022	10	45	missing_amounts: [17436.0, 21176027.0]
AN202503261647675945	9;10;11	92	missing_amounts: [7006.0, 3804858.0]
AN202503261647836687	36;37;38;39;40	182	missing_amounts: [3708.0, 5442.0, 192198.0, 202741.0, 404089.0]
AN202503261647863408	15	31	missing_amounts: [1324.0, 1197272.0, 1198596.0]
AN202503261647886182	11	20	missing_amounts: [1725.0, 7021823.0]
AN202503281648680965	18;19	21	missing_amounts: [38764.0, 184782.0]
AN202503281648686212	12;13;14;15	90	missing_amounts: [37762.0, 51337.0, 89099.0]
AN202503281648764716	14	18	missing_amounts: [2632.0, 96226.0, 575906.0, 674764.0]
AN202503281648764748	18;19;20;21;22;23;24;25	209	missing_amounts: [234.0, 107218.0]
AN202503281648791582	165	14	missing_amounts: [142516.0, 1063244.0]
AN202503281648796250	25;26;27;28;29	100	missing_amounts: [-253.0, 153.0, 238.0, 548.0, 906.0, 2369.0, 14820.0, 64585.0]
AN202503301649159316	30;31;32;33;34;35;36;37;38	347	missing_amounts: [109345.0, 251810.0, 288592.0, 407045.0, 5973499.0, 7030291.0]
AN202503311649656747	10	13	missing_amounts: [12413.0, 24612.0, 158120.0, 792314.0, 987459.0]
AN202503311649706029	2	29	missing_amounts: [3027.0, 100635.0, 370154.0]
AN202503311649709414	122;123	25	missing_amounts: [10761.0, 36572.0, 120689.0, 175874.0, 229247.0, 233657.0, 262564.0, 830981.0, 3334264.0]
AN202503311649710926	23;24;25;26;27;28;29;30;31;32;33;34	236	missing_amounts: [1696668.0, 3538542.0, 6705213.0, 11940423.0]
AN202503311649712229	6;7	18	missing_amounts: [4961.0, 6520.0, 48993.0, 114029.0, 153027.0, 194693.0, 229983.0, 752206.0]
AN202503311649714706	7;8	37	missing_amounts: [2744.0, 67462.0]
AN202504031650851715	28;29	24	missing_amounts: [218842085.89, 226825684.72, 1436376389.11, 1882044159.72]
AN202504161657409173	203	29	missing_amounts: [1152589.0, 5476774.0, 6556150.0, 76041007.0, 89226520.0]
AN202504171657939004	14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29	368	missing_amounts: [535.0, 703058.0, 703593.0]
AN202504251662011192	233	48	missing_amounts: [89.0, 432482.0, 432571.0]
AN202504251662292186	24;25	33	missing_amounts: [815231.81, 1275501.69, 6105996.69, 7928968.68, 11199997.22, 15212963.29, 32709568.48, 634011566.93, 709259794.79]
AN202504251662382274	10	22	missing_amounts: [5523.0, 33647.0, 297550.0, 336720.0]
AN202504281663499941	35;36;37	33	missing_amounts: [81.0, 10761.0, 592082.0, 917558.0, 1520482.0]
AN202504291664475654	8;9	34	missing_amounts: [28351.0, 35577.0, 48788.0, 112716.0]
AN202504291664501314	39	21	missing_amounts: [3598.0, 6171.0, 12660.0, 54307.0]
AN202504291664618798	23;24	20	missing_amounts: [6019136023.5, 7564406473.18, 11150427567.3, 16602968594.74, 28358197064.75, 69695135723.47]
AN202504301665212280	6;7;8	45	missing_amounts: [1044.0, 3088144.0, 3960904.0, 30303157.0]
AN202505151673331862	7	25	missing_amounts: [-102616.0, 1924.0, 22267.0, 23835.0, 24301.0, 67076.0, 101272.0, 103180.0, 108465.0, 118028.0, 206269.0, 322346.0, 996347.0]
AN202505271680196660	7	9	missing_amounts: [76972.0, 164295.0]
AN202506201694573015	8	17	missing_amounts: [519558.0, 1230372.0, 4367095.0]
AN202506251697479727	6	17	missing_amounts: [5042.0]
AN202506271698760314	16;17;18	77	missing_amounts: [30280.0]
