infocode	gt_value_count	missing_value_count	missing_values
AN202411071640755422	20	20	[6746, -14, 4487, 1730, -3733, -1003, 33, 22898, 1928, 33072, 19758, -467, 12999, 2832, -12814, 175, 33, 51332, 5585, 79433]
AN202501141641925005	6	3	[979, 103, 4311]
AN202502181643209210	3	1	[35]
AN202502201643297822	20	14	[-14, -3733, -1003, 22898, 33072, 19758, -467, 12999, 2832, -12814, 175, 51332, 5585, 79433]
AN202502211643369388	3	3	[142900, 4913, 147813]
AN202502251643491471	4	4	[9550, 3, 4615, 14168]
AN202502261643524112	6	4	[33687, 21717, 33687, 21717]
AN202502261643530572	8	4	[112622, 24163, 11933, 148718]
AN202502261643533155	8	4	[67842, 12165, 87783, 167790]
AN202502271643556315	6	5	[9120, 3523, 2562, 2122, 19]
AN202502271643556340	6	4	[159438342, 63490667, 159438342, 63490667]
AN202502271643568356	4	1	[180]
AN202502281643591073	6	3	[248, 63, 84]
AN202502281643607993	6	2	[546, 814]
AN202502281643609925	4	2	[196, 54654]
AN202502281643617359	4	3	[51, 167, 932]
AN202503021643658606	12	12	[12909925, 10468347, 2441578, 6304742, 3004801, 3299941, 3108902, 2120761, 988141, 22323569, 15593909, 6729660]
AN202503061644104613	12	8	[2858228, 1762758, 2761118, 990246, 2187120, 1021592, 7806466, 3774596]
AN202503101644225910	6	1	[181]
AN202503131644327946	7	2	[88, 888]
AN202503131644343550	5	2	[-219537, 247271]
AN202503141644357580	8	6	[754, 586, 753, 170, 20, 73]
AN202503141644371785	6	4	[430867, 500467, 430867, 500467]
AN202503141644374731	7	2	[146003, 1219113]
AN202503181644476934	6	6	[3649983, 1910688, 1739295, 3649983, 1910688, 1739295]
AN202503181644489590	12	9	[35829402, 32866163, 5036907, 2154378, 40866309, 35020541, 13200594, 579725, 13780319]
AN202503181644490768	12	12	[35829402, 32866163, 5036907, 2154378, 40866309, 35020541, 14671128, 13200594, 1433968, 579725, 16105096, 13780319]
AN202503191644724671	7	7	[33150043, 980034, 376308, 847931, -595895, -533678, 34224743]
AN202503191644743275	5	3	[440201, 177178, 771316]
AN202503201645115409	4	1	[5443476]
AN202503201645117092	12	6	[185295, 151141, 350362, 173441, 41377, 901616]
AN202503201645124051	3	3	[26, 1200, 1226]
AN202503201645173309	5	5	[7650217, 4356396, 4726194, -24004, 16708803]
AN202503201645180691	6	6	[176764, 157881, 18883, 176764, 157881, 18883]
AN202503201645194536	5	1	[363]
AN202503201645212794	6	6	[960488, 934311, 26177, 960488, 934311, 26177]
AN202503201645227914	4	4	[204158, 2276115, 3877, 2484150]
AN202503211645567140	5	5	[101879, 3617, 1034972, 611, 1141079]
AN202503211645582466	12	9	[58234086, 51094616, 7497473, 8144181, 65731559, 59238797, 15190937, 2203547, 17394484]
AN202503211645591317	9	9	[918546, 587892, 330654, 420709, 155039, 265670, 1339255, 742931, 596324]
AN202503211645650058	4	1	[393]
AN202503211645656052	6	4	[166326, 61470, 166326, 61470]
AN202503211645681872	3	1	[273]
AN202503211645681938	3	1	[49589]
AN202503231646477167	6	3	[14108668, 48902, 166324]
AN202503241646930284	7	7	[781269, 13800, 45063, 423, 7220, 128776, 976551]
AN202503241646938275	3	1	[6759320]
AN202503241646941001	6	4	[845729, 171083, 845729, 171083]
AN202503241646962383	9	3	[157, 472, 45478]
AN202503241646982566	6	6	[4075614, 1117794, 985676, 238972, 5061290, 1356766]
AN202503241646993382	3	3	[46780, 2275, 49055]
AN202503251647229111	5	5	[5677965, 1260631, 13422445, 2308174, 22669215]
AN202503251647318305	12	4	[4208139, 509518, 161204, 4878861]
AN202503251647377767	8	8	[67170242886.86, 63646189305.52, 27950844234.42, 25831014404.5, 10499686234.15, 10600271401.44, 105620773355.43, 100077475111.46]
AN202503251647385022	6	2	[17436, 21176027]
AN202503251647390740	5	4	[466116, 10302, 4208, 640083]
AN202503251647416090	5	4	[5991, 25848, 19381, 415]
AN202503251647420681	12	6	[1232196, 2547079, 3003205, 1656749, 214171, 8653400]
AN202503251647430529	4	2	[229, 219]
AN202503251647439401	5	2	[111, 28]
AN202503261647675909	3	3	[5193130, 8470355, 13663485]
AN202503261647675945	3	2	[3804858, 7006]
AN202503261647768272	12	12	[512295, 255129, 47930, 21717, 34684, 476189, 1006883, 278221, 552713, 324225, 911623, 4421609]
AN202503261647779711	3	3	[45410942, 484310, 45895252]
AN202503261647787120	8	4	[7619, 24273, 31135, -5220]
AN202503261647792361	4	1	[379482]
AN202503261647806212	3	1	[681]
AN202503261647838263	2	2	[172951507, 172951507]
AN202503261647856619	4	1	[14842]
AN202503261647863408	3	3	[1197272, 1324, 1198596]
AN202503261647863430	3	3	[267576, 24868, 292444]
AN202503261647866868	4	4	[38842, 36107, 759, 75708]
AN202503261647874445	6	2	[55197, 55197]
AN202503261647876836	5	1	[5696661]
AN202503261647878310	3	2	[332, 14326]
AN202503261647881588	14	7	[1191792820.74, 2078062928.99, 341044343.07, 107637053.53, 259860292.34, 17379331.82, 3995776770.49]
AN202503261647881645	4	2	[123, 191090]
AN202503261647883996	8	4	[1962189, 2051555, 494156, 4507900]
AN202503261647886202	6	2	[267, 81916]
AN202503271648213513	3	3	[3772356, 67153, 3839509]
AN202503271648222008	6	4	[579, 1199, 579, 1199]
AN202503271648223142	5	5	[668945, 19382, 40858, 39058, 768243]
AN202503271648227153	8	8	[1069464, 767961, 106602, 98190, 2314, 15065, 125760, 2185356]
AN202503271648230209	5	2	[76249, 132047]
AN202503271648245141	8	8	[17908950, 409291, 2172849, 551559, 1535359, 94347, 356678, 23029033]
AN202503271648248793	6	1	[812]
AN202503271648256400	16	12	[308338949.63, 267232244.36, 502124378.61, 465934478.67, 282820423.59, 292959618.69, 421258696.03, 290656450.91, 311476723.57, 262339421.38, 40479103.78, 21967289.46]
AN202503271648260821	8	4	[220151, 68984, 8771, 297906]
AN202503271648276552	5	5	[397107, 573373, 889859, 5015, 1865354]
AN202503271648288253	9	6	[3044198, 1278371, 72449, 51102, 3116647, 1329473]
AN202503271648314750	3	3	[5333698, 313637, 5647335]
AN202503271648322452	3	3	[4711, 1530, 6241]
AN202503271648323477	3	3	[325232, 233707, 558939]
AN202503271648331824	5	2	[785, 7011]
AN202503281648474828	12	6	[111697, 5903, -2122, 13695, 2609, 111697]
AN202503281648485771	9	7	[165574, 81372, 509700, 404152, 105548, 569726, 186920]
AN202503281648582649	9	3	[1285876, 247701, 1533577]
AN202503281648680164	8	8	[2525448365, 2127048269, 6063476596, 5693477065, 5138652, 3134182, 8594063613, 7823659516]
AN202503281648680230	6	1	[2456]
AN202503281648680965	4	2	[184782, 38764]
AN202503281648686173	8	5	[3168, 5355, 1184, 300, 4652]
AN202503281648686212	3	3	[51337, 37762, 89099]
AN202503281648699728	3	3	[56009, 2100, 58109]
AN202503281648703371	4	1	[861]
AN202503281648721571	4	1	[151]
AN202503281648722161	5	5	[5817544, 1691640, 1803127, 3294, 9315605]
AN202503281648733247	6	6	[660549, 579136, 81413, 660549, 579136, 81413]
AN202503281648741357	6	2	[1364239, 1364239]
AN202503281648745653	4	4	[22601, 6904, 27544, 57049]
AN202503281648751744	2	2	[32638, 32638]
AN202503281648755830	5	1	[42451]
AN202503281648756723	7	5	[4450249, 202133, 107558, 92279, 13567]
AN202503281648764716	4	4	[575906, 2632, 96226, 674764]
AN202503281648764734	4	4	[2752490, 625846, 62898, 3441234]
AN202503281648764748	3	1	[234]
AN202503281648766923	6	2	[500, 279]
AN202503281648771766	3	3	[4936, 87505, 92441]
AN202503281648777881	30	24	[51431.6, -8449.51, 8563.52, 4782.82, 11041.93, -6259.11, 41212.72, 3124.09, 38088.63, 15375.78, 7457.23, 7918.55, 40501.68, 38705.12, 1796.56, 2777.44, 4426.51, 23608.89, -150.61, 231.03, -381.64, 168992.52, 148589.91, 20402.6]
AN202503281648777940	4	1	[77]
AN202503281648781462	3	2	[234, 461983]
AN202503281648785274	8	5	[1117317434.21, 183364371.14, 16400439.96, 1607551480.22, 1317082245.31]
AN202503281648786786	3	1	[86]
AN202503281648786825	5	5	[438007, 117071, 30340, 231, 585649]
AN202503281648788835	5	1	[635]
AN202503281648791582	5	2	[142516, 1063244]
AN202503281648792585	3	1	[15147886]
AN202503281648792633	4	1	[605]
AN202503281648793204	6	6	[5641, 3628, 4519, 4475, 10160, 8103]
AN202503281648793903	6	6	[29461, 22049, 7412, 29461, 22049, 7412]
AN202503281648794424	5	5	[43580, 31154, 9401, 323, 84458]
AN202503281648794920	4	1	[461837]
AN202503281648796250	11	9	[548, 14820, 238, 2, -253, 153, 906, 2369, 64585]
AN202503281648796841	5	2	[686, 65]
AN202503281648797645	8	3	[53, 737, 384]
AN202503301649159292	5	5	[11516516, 832584, 4372935, 979390, 17701425]
AN202503301649159316	6	2	[251810, 407045]
AN202503301649195367	4	4	[813952, 21872, 499799, 1335623]
AN202503311649601976	6	4	[1815464, 1098649, 1815464, 1098649]
AN202503311649636693	4	1	[6951]
AN202503311649656747	5	5	[792314, 24612, 158120, 12413, 987459]
AN202503311649659828	6	4	[1483, 543, 1483, 543]
AN202503311649669087	8	1	[94]
AN202503311649680410	6	6	[71591, 68390, 3201, 71591, 68390, 3201]
AN202503311649696937	4	4	[6742, 46, 8825, 15613]
AN202503311649701790	3	1	[188]
AN202503311649701796	3	3	[374, 37586, 37960]
AN202503311649704869	8	6	[272154, 14975, 52438, 49556, 7739, 31753]
AN202503311649708282	3	3	[1778607, 245743, 2024350]
AN202503311649709414	11	9	[3334264, 830981, 233657, 175874, 262564, 120689, 36572, 229247, 10761]
AN202503311649710926	4	4	[6705213, 3538542, 1696668, 11940423]
AN202503311649711380	9	3	[166086, 90907, 256993]
AN202503311649714663	6	2	[1289, 1289]
AN202503311649714750	7	7	[42540, 132367, 229145, 1715, 20009, 2577, 428353]
AN202503311649715421	3	3	[39705, 13305, 53010]
AN202503311649720355	5	2	[260, 680]
