infocode	category	pipeline_stage	source_pages	message	local_rows	gt_rows
AN202411071640755422	locate_fail	locate_fail		未定位到目标表	0	20
AN202603231820705254	locate_fail	locate_fail		未定位到目标表	0	7
AN202605121822216651	locate_fail	locate_fail		未定位到目标表	0	3
AN202605131822280466	locate_fail	locate_fail		未定位到目标表	0	3
AN202503021643658606	empty_output	empty_output	28	主表抽取为空	0	4
AN202503101644225910	empty_output	empty_output	16	主表抽取为空	0	6
AN202503141644374731	empty_output	empty_output	6	主表抽取为空	0	7
AN202503181644476934	empty_output	empty_output	119|120	主表抽取为空	0	2
AN202503201645117092	empty_output	empty_output	12	主表抽取为空	0	6
AN202503201645180691	empty_output	empty_output	18	主表抽取为空	0	2
AN202503201645212794	empty_output	empty_output	14	主表抽取为空	0	2
AN202503211645567140	empty_output	empty_output	11	主表抽取为空	0	5
AN202503211645665149	empty_output	empty_output	8	主表抽取为空	0	6
AN202503251647377767	empty_output	empty_output	356|357	主表抽取为空	0	4
AN202503261647818369	empty_output	empty_output	9|10	主表抽取为空	0	5
AN202503261647840410	empty_output	empty_output	7	主表抽取为空	0	4
AN202503261647866868	empty_output	empty_output	23	主表抽取为空	0	4
AN202503261647883993	empty_output	empty_output	7	主表抽取为空	0	3
AN202503261647886182	empty_output	empty_output	31	主表抽取为空	0	4
AN202503271648213513	empty_output	empty_output	12|13|14|21|22|23	主表抽取为空	0	3
AN202503271648245141	empty_output	empty_output	20	主表抽取为空	0	8
AN202503271648248793	empty_output	empty_output	7	主表抽取为空	0	6
AN202503271648276552	empty_output	empty_output	8	主表抽取为空	0	5
AN202503271648322452	empty_output	empty_output	28|29	主表抽取为空	0	3
AN202503281648699728	empty_output	empty_output	23	主表抽取为空	0	3
AN202503281648745653	empty_output	empty_output	5	主表抽取为空	0	4
AN202503281648756664	empty_output	empty_output	20|21	主表抽取为空	0	5
AN202503281648764734	empty_output	empty_output	27	主表抽取为空	0	4
AN202503281648771766	empty_output	empty_output	32|33|34	主表抽取为空	0	3
AN202503281648780930	empty_output	empty_output	417	主表抽取为空	0	4
AN202503281648785274	empty_output	empty_output	12	主表抽取为空	0	4
AN202503281648786825	empty_output	empty_output	19	主表抽取为空	0	5
AN202503281648791628	empty_output	empty_output	8	主表抽取为空	0	6
AN202503281648792585	empty_output	empty_output	2|3	主表抽取为空	0	3
AN202503281648793903	empty_output	empty_output	16	主表抽取为空	0	2
AN202503281648794920	empty_output	empty_output	9	主表抽取为空	0	4
AN202503301649195367	empty_output	empty_output	7|8	主表抽取为空	0	4
AN202503311649680410	empty_output	empty_output	6	主表抽取为空	0	2
AN202503311649696937	empty_output	empty_output	12	主表抽取为空	0	4
AN202503311649701790	empty_output	empty_output	7	主表抽取为空	0	3
AN202503311649708282	empty_output	empty_output	18|19	主表抽取为空	0	3
AN202503311649714750	empty_output	empty_output	42	主表抽取为空	0	7
AN202504031650851715	empty_output	empty_output	26	主表抽取为空	0	4
AN202504101653974053	empty_output	empty_output	14	主表抽取为空	0	4
AN202504111654911397	empty_output	empty_output	134	主表抽取为空	0	5
AN202504161657399539	empty_output	empty_output	124	主表抽取为空	0	2
AN202504171657939004	empty_output	empty_output	33	主表抽取为空	0	3
AN202504251662011192	empty_output	empty_output	11	主表抽取为空	0	3
AN202504251662292186	empty_output	empty_output	20	主表抽取为空	0	9
AN202504281663499941	empty_output	empty_output	121	主表抽取为空	0	5
AN202504281663964624	empty_output	empty_output	32	主表抽取为空	0	6
AN202504291664618798	empty_output	empty_output	23	主表抽取为空	0	6
AN202506201694517460	empty_output	empty_output	6	主表抽取为空	0	8
AN202506201694573015	empty_output	empty_output	13	主表抽取为空	0	4
AN202506251697488456	empty_output	empty_output	7|8|9	主表抽取为空	0	4
AN202506251697535074	empty_output	empty_output	18	主表抽取为空	0	3
AN202506261698028994	empty_output	empty_output	8	主表抽取为空	0	3
AN202506261698143418	empty_output	empty_output	4|5|6	主表抽取为空	0	6
AN202506271698760314	empty_output	empty_output	28	主表抽取为空	0	2
AN202506301700499937	empty_output	empty_output	9	主表抽取为空	0	3
AN202506301700507694	empty_output	empty_output	16|17|18	主表抽取为空	0	2
AN202506301700552418	empty_output	empty_output	22	主表抽取为空	0	4
AN202506301700565530	empty_output	empty_output	26	主表抽取为空	0	2
AN202601291818549232	empty_output	empty_output	18	主表抽取为空	0	2
